tempcode,placeid,place23cd,placesort,place23nm,splitind,descnm,ctyhistnm,cty61nm,cty91nm,ctyltnm,ctry23nm,cty23cd,cty23nm,lad61nm,lad61desc,lad91nm,lad91desc,lad23cd,lad23nm,lad23desc,ced23cd,wd23cd,par23cd,hlth23cd,hlth23nm,regd23cd,regd23nm,rgn23cd,rgn23nm,npark23cd,npark23nm,bua22cd,pcon23cd,pcon23nm,eer23cd,eer23nm,pfa23cd,pfa23nm,gridgb1m,gridgb1e,gridgb1n,grid1km,lat,long,origin,reason,confidence
14372,18194,IPN0019094,Culnacraig,Culnacraig,0,LOC,Cromartyshire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Lochbroom,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,2064520904025.0,206452.0,904025.0,NC0604,57.983192,-5.27525,,,
4983,6468,IPN0006805,Blairlogie,Blairlogie,0,LOC,Perthshire,Stirling,Central,Stirling and Falkirk,Scotland,,,Central No 1,LD,Central,DIST,S12000030,Stirling,CA,,,,S08000019,Forth Valley,,,S99999999,,,,,S14000057,Stirling,S15000001,Scotland,S23000009,Scotland,2828150696877.0,282815.0,696877.0,NS8296,56.15013,-3.887905,,,
22591,28419,IPN0029919,Greenwall,Greenwall,0,LOC,Lanarkshire,Lanark,Strathclyde,Lanarkshire,Scotland,,,Third,LD,Strathclyde,DIST,S12000029,South Lanarkshire,CA,,,,S08000032,Lanarkshire,,,S99999999,,,,,S14000042,Lanark and Hamilton East,S15000001,Scotland,S23000009,Scotland,2931430654930.0,293143.0,654930.0,NS9354,55.775848,-3.705091,,,
38007,47397,IPN0049758,Nerston,Nerston,0,LOC,Lanarkshire,Lanark,Strathclyde,Lanarkshire,Scotland,,,Fourth,LD,Strathclyde,DIST,S12000029,South Lanarkshire,CA,,,,S08000032,Lanarkshire,,,S99999999,,,,,S14000019,"East Kilbride, Strathaven and Lesmahagow",S15000001,Scotland,S23000009,Scotland,2643570656837.0,264357.0,656837.0,NS6456,55.785749,-4.164618,,,
13810,17542,IPN0018420,Croftouterly,Croft Outerly,0,LOC,Fife,Fife,Fife,Fife,Scotland,,,Kirkcaldy,LD,Fife,DIST,S12000047,Fife,CA,,,,S08000029,Fife,,,S99999999,,,,,S14000036,Glenrothes,S15000001,Scotland,S23000009,Scotland,3248440701843.0,324844.0,701843.0,NO2401,56.203219,-3.212997,,,
20558,25957,IPN0027275,Garenin,Garenin,0,LOC,Ross-shire,Ross and Cromarty,,Western Isles,Scotland,,,Lewis,LD,Western Isles,IA,S12000013,Na h-Eileanan Siar,CA,,,,S08000028,Western Isles,,,S99999999,,,,,S14000027,Na h-Eileanan an Iar,S15000001,Scotland,S23000009,Scotland,1200100943687.0,120010.0,943687.0,NB2043,58.292222,-6.779846,,,
1927,2557,IPN0002707,Auchmuirbridge,Auchmuirbridge,0,LOC,Kinross-shire,Kinross,Tayside,Perth and Kinross,Scotland,,,Portmoak,LD,Tayside,DIST,S12000048,Perth and Kinross,CA,,,,S08000030,Tayside,,,S99999999,,,,,S14000050,Ochil and South Perthshire,S15000001,Scotland,S23000009,Scotland,3216930701293.0,321693.0,701293.0,NO2101,56.197771,-3.26361,,,
29070,36422,IPN0038265,Killochyett,Killochyett,0,LOC,Midlothian,Midlothian,Borders,"Roxburgh, Ettrick and Lauderdale",Scotland,,,Gala Water,LD,Borders,DIST,S12000026,Scottish Borders,CA,,,,S08000016,Borders,,,S99999999,,,,,S14000008,"Berwickshire, Roxburgh and Selkirk",S15000001,Scotland,S23000009,Scotland,3457990645357.0,345799.0,645357.0,NT4545,55.698623,-2.86391,,,
15601,19624,IPN0020620,Dingwall,Dingwall,0,LOC,Ross-shire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Dingwall,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,2551400858731.0,255140.0,858731.0,NH5558,57.595262,-4.425329,,,
3282,4253,IPN0004479,Bayherivagh,Bayherivagh,0,LOC,Inverness-shire,Inverness,,Western Isles,Scotland,,,Barra,LD,Western Isles,IA,S12000013,Na h-Eileanan Siar,CA,,,,S08000028,Western Isles,,,S99999999,,,,,S14000027,Na h-Eileanan an Iar,S15000001,Scotland,S23000009,Scotland,709140802957.0,70914.0,802957.0,NF7002,57.000027,-7.421983,,,
18423,23357,IPN0024582,Failford,Failford,0,LOC,Ayrshire,Ayr,Strathclyde,Ayrshire and Arran,Scotland,,,Ayr,LD,Strathclyde,DIST,S12000028,South Ayrshire,CA,,,,S08000015,Ayrshire and Arran,,,S99999999,,,,,S14000010,Central Ayrshire,S15000001,Scotland,S23000009,Scotland,2459340626123.0,245934.0,626123.0,NS4526,55.504514,-4.440897,,,
13414,17008,IPN0017871,Cradlehall,Cradlehall,0,LOC,Inverness-shire,Inverness,Highland,Inverness,Scotland,,,Inverness,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000039,"Inverness, Nairn, Badenoch and Strathspey",S15000001,Scotland,S23000009,Scotland,2716390845998.0,271639.0,845998.0,NH7145,57.485965,-4.142797,,,
5573,7264,IPN0007629,Borve,Borbh,0,LOC,Inverness-shire,Inverness,Highland,Ross and Cromarty,Scotland,,,Skye,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,1447380848540.0,144738.0,848540.0,NG4448,57.455094,-6.25722,,,
