tempcode,placeid,place23cd,placesort,place23nm,splitind,descnm,ctyhistnm,cty61nm,cty91nm,ctyltnm,ctry23nm,cty23cd,cty23nm,lad61nm,lad61desc,lad91nm,lad91desc,lad23cd,lad23nm,lad23desc,ced23cd,wd23cd,par23cd,hlth23cd,hlth23nm,regd23cd,regd23nm,rgn23cd,rgn23nm,npark23cd,npark23nm,bua22cd,pcon23cd,pcon23nm,eer23cd,eer23nm,pfa23cd,pfa23nm,gridgb1m,gridgb1e,gridgb1n,grid1km,lat,long,origin,reason,confidence
14372,18194,IPN0019094,Culnacraig,Culnacraig,0,LOC,Cromartyshire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Lochbroom,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,2064520904025.0,206452.0,904025.0,NC0604,57.983192,-5.27525,Scottish Gaelic,"Culnacraig comes from Gaelic 'Cùl na Creige' meaning 'back of the rock/crag'. The elements 'cùl' (back) and 'creag' (rock) are common in Gaelic toponymy, with 'na' being the Gaelic genitive article. This formation pattern is typical of Highland toponymy.",High
4983,6468,IPN0006805,Blairlogie,Blairlogie,0,LOC,Perthshire,Stirling,Central,Stirling and Falkirk,Scotland,,,Central No 1,LD,Central,DIST,S12000030,Stirling,CA,,,,S08000019,Forth Valley,,,S99999999,,,,,S14000057,Stirling,S15000001,Scotland,S23000009,Scotland,2828150696877.0,282815.0,696877.0,NS8296,56.15013,-3.887905,Scottish Gaelic,"Blairlogie combines two Gaelic elements: 'blàr' meaning 'plain' or 'field' and 'lagan' (likely modified to 'logie'), meaning 'hollow'. The 'blair-' prefix is extremely common in Scottish place names of Gaelic origin, particularly in central Scotland.",High
22591,28419,IPN0029919,Greenwall,Greenwall,0,LOC,Lanarkshire,Lanark,Strathclyde,Lanarkshire,Scotland,,,Third,LD,Strathclyde,DIST,S12000029,South Lanarkshire,CA,,,,S08000032,Lanarkshire,,,S99999999,,,,,S14000042,Lanark and Hamilton East,S15000001,Scotland,S23000009,Scotland,2931430654930.0,293143.0,654930.0,NS9354,55.775848,-3.705091,English,"Greenwall is a straightforward English compound of 'green' and 'wall', likely describing a physical feature of the landscape. The elements are purely Germanic/English in origin, with no Celtic or Norse influence evident in the structure or pronunciation.",High
38007,47397,IPN0049758,Nerston,Nerston,0,LOC,Lanarkshire,Lanark,Strathclyde,Lanarkshire,Scotland,,,Fourth,LD,Strathclyde,DIST,S12000029,South Lanarkshire,CA,,,,S08000032,Lanarkshire,,,S99999999,,,,,S14000019,"East Kilbride, Strathaven and Lesmahagow",S15000001,Scotland,S23000009,Scotland,2643570656837.0,264357.0,656837.0,NS6456,55.785749,-4.164618,Scots,"Nerston likely derives from 'near' + 'tun/ton' (Old English/Scots settlement suffix). The '-ton' suffix is a common Scots/English habitative element meaning 'farm' or 'settlement'. The first element 'Ner-' could be a phonetic alteration of 'near' in Scots, possibly referring to its location relative to another settlement.",Medium
13810,17542,IPN0018420,Croftouterly,Croft Outerly,0,LOC,Fife,Fife,Fife,Fife,Scotland,,,Kirkcaldy,LD,Fife,DIST,S12000047,Fife,CA,,,,S08000029,Fife,,,S99999999,,,,,S14000036,Glenrothes,S15000001,Scotland,S23000009,Scotland,3248440701843.0,324844.0,701843.0,NO2401,56.203219,-3.212997,Scottish Gaelic,"Croftouterly appears to contain 'croft' (a small farm) combined with possible Gaelic elements. The 'outerly' portion might be derived from Gaelic 'uachdarach' (upper) or similar term, modified through Scots pronunciation. The combination suggests a hybrid formation typical of areas where Gaelic and Scots languages interacted.",Medium
20558,25957,IPN0027275,Garenin,Garenin,0,LOC,Ross-shire,Ross and Cromarty,,Western Isles,Scotland,,,Lewis,LD,Western Isles,IA,S12000013,Na h-Eileanan Siar,CA,,,,S08000028,Western Isles,,,S99999999,,,,,S14000027,Na h-Eileanan an Iar,S15000001,Scotland,S23000009,Scotland,1200100943687.0,120010.0,943687.0,NB2043,58.292222,-6.779846,Norse,"Garenin, found in the Western Isles, shows clear Norse influence. The '-in' ending is a typical Norse pattern in Lewis place names. The 'garen-' element likely derives from Old Norse 'garðr' meaning 'enclosure' or 'farm'. This is consistent with the strong Norse heritage in the Western Isles of Scotland, particularly in Lewis where many settlement names have Norse origins.",High
1927,2557,IPN0002707,Auchmuirbridge,Auchmuirbridge,0,LOC,Kinross-shire,Kinross,Tayside,Perth and Kinross,Scotland,,,Portmoak,LD,Tayside,DIST,S12000048,Perth and Kinross,CA,,,,S08000030,Tayside,,,S99999999,,,,,S14000050,Ochil and South Perthshire,S15000001,Scotland,S23000009,Scotland,3216930701293.0,321693.0,701293.0,NO2101,56.197771,-3.26361,Scots,"Auchmuirbridge is a compound name combining 'Auch-' (from Gaelic 'achadh' meaning field), 'muir' (Scots for moorland), and 'bridge' (Scots/English). The combination and particularly the Scots form 'muir' rather than Gaelic 'mòr' suggests this is primarily a Scots formation, likely dating from the medieval or early modern period.",High
29070,36422,IPN0038265,Killochyett,Killochyett,0,LOC,Midlothian,Midlothian,Borders,"Roxburgh, Ettrick and Lauderdale",Scotland,,,Gala Water,LD,Borders,DIST,S12000026,Scottish Borders,CA,,,,S08000016,Borders,,,S99999999,,,,,S14000008,"Berwickshire, Roxburgh and Selkirk",S15000001,Scotland,S23000009,Scotland,3457990645357.0,345799.0,645357.0,NT4545,55.698623,-2.86391,Scottish Gaelic,"Killochyett appears to derive from Gaelic 'ceall' or 'cill' (church) as the first element, with possibly 'loch' (lake) as second element. The '-yett' ending could be from Scots 'yett' (gate), suggesting a hybrid formation. The predominance of Gaelic elements suggests primary Gaelic origin with later Scots influence.",Medium
15601,19624,IPN0020620,Dingwall,Dingwall,0,LOC,Ross-shire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Dingwall,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,2551400858731.0,255140.0,858731.0,NH5558,57.595262,-4.425329,Norse,"Dingwall derives from Old Norse 'Þingvǫllr' meaning 'field of the parliament/assembly' (thing-völlr). This reflects the town's historical importance as a Norse administrative center. The name preserves clear Norse elements, and the location in Ross-shire was part of Norse-controlled territory in medieval Scotland.",High
3282,4253,IPN0004479,Bayherivagh,Bayherivagh,0,LOC,Inverness-shire,Inverness,,Western Isles,Scotland,,,Barra,LD,Western Isles,IA,S12000013,Na h-Eileanan Siar,CA,,,,S08000028,Western Isles,,,S99999999,,,,,S14000027,Na h-Eileanan an Iar,S15000001,Scotland,S23000009,Scotland,709140802957.0,70914.0,802957.0,NF7002,57.000027,-7.421983,Norse,Bayherivagh appears to combine Norse elements: 'vagh' likely derives from Norse 'vagr' meaning bay or inlet. The 'bay' prefix could be a later English addition or derived from Norse 'bae'. The middle element 'heri' might relate to Norse 'herr' (army) or a personal name. Common in Western Isles toponymy.,Medium
