tempcode,placeid,place23cd,placesort,place23nm,splitind,descnm,ctyhistnm,cty61nm,cty91nm,ctyltnm,ctry23nm,cty23cd,cty23nm,lad61nm,lad61desc,lad91nm,lad91desc,lad23cd,lad23nm,lad23desc,ced23cd,wd23cd,par23cd,hlth23cd,hlth23nm,regd23cd,regd23nm,rgn23cd,rgn23nm,npark23cd,npark23nm,bua22cd,pcon23cd,pcon23nm,eer23cd,eer23nm,pfa23cd,pfa23nm,gridgb1m,gridgb1e,gridgb1n,grid1km,lat,long,origin,reason,confidence
14372,18194,IPN0019094,Culnacraig,Culnacraig,0,LOC,Cromartyshire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Lochbroom,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,2064520904025.0,206452.0,904025.0,NC0604,57.983192,-5.27525,Scottish Gaelic,"Contains Gaelic elements 'Cul' (back/nook) and 'craig' (rock/crag). The form 'Culnacraig' follows typical Gaelic naming pattern meaning 'back of the rock' or 'nook of the crag', with 'na' being the genitive article.",High
4983,6468,IPN0006805,Blairlogie,Blairlogie,0,LOC,Perthshire,Stirling,Central,Stirling and Falkirk,Scotland,,,Central No 1,LD,Central,DIST,S12000030,Stirling,CA,,,,S08000019,Forth Valley,,,S99999999,,,,,S14000057,Stirling,S15000001,Scotland,S23000009,Scotland,2828150696877.0,282815.0,696877.0,NS8296,56.15013,-3.887905,Scots,"Hybrid name combining Gaelic 'Blair' (field/plain) with Scots/English '-logie' (from Gaelic 'lag' meaning hollow, but anglicized). This represents the linguistic layering common in Lowland Scotland where Gaelic elements were adapted into Scots naming conventions.",High
22591,28419,IPN0029919,Greenwall,Greenwall,0,LOC,Lanarkshire,Lanark,Strathclyde,Lanarkshire,Scotland,,,Third,LD,Strathclyde,DIST,S12000029,South Lanarkshire,CA,,,,S08000032,Lanarkshire,,,S99999999,,,,,S14000042,Lanark and Hamilton East,S15000001,Scotland,S23000009,Scotland,2931430654930.0,293143.0,654930.0,NS9354,55.775848,-3.705091,English,"Purely English descriptive toponym composed of 'Green' + 'wall', likely referring to a verdant embankment, hedge boundary, or natural feature. Follows standard English toponymic patterns with no Celtic or Norse elements.",High
38007,47397,IPN0049758,Nerston,Nerston,0,LOC,Lanarkshire,Lanark,Strathclyde,Lanarkshire,Scotland,,,Fourth,LD,Strathclyde,DIST,S12000029,South Lanarkshire,CA,,,,S08000032,Lanarkshire,,,S99999999,,,,,S14000019,"East Kilbride, Strathaven and Lesmahagow",S15000001,Scotland,S23000009,Scotland,2643570656837.0,264357.0,656837.0,NS6456,55.785749,-4.164618,Scots,The '-ton' suffix is characteristic of Anglo-Saxon/Germanic settlement names meaning 'farm' or 'settlement'. 'Ner-' could derive from a personal name or topographical feature. This pattern is typical of Scots toponymy in the Lowlands where Germanic linguistic influence was strong.,Medium
13810,17542,IPN0018420,Croftouterly,Croft Outerly,0,LOC,Fife,Fife,Fife,Fife,Scotland,,,Kirkcaldy,LD,Fife,DIST,S12000047,Fife,CA,,,,S08000029,Fife,,,S99999999,,,,,S14000036,Glenrothes,S15000001,Scotland,S23000009,Scotland,3248440701843.0,324844.0,701843.0,NO2401,56.203219,-3.212997,Scots,"Clear compound of Scots 'croft' (small farm) + 'outer' + '-ly' (locative suffix). This transparent English/Scots formation indicates a farm or smallholding situated in an outer or remote position, typical of post-medieval agricultural expansion in Scotland.",High
20558,25957,IPN0027275,Garenin,Garenin,0,LOC,Ross-shire,Ross and Cromarty,,Western Isles,Scotland,,,Lewis,LD,Western Isles,IA,S12000013,Na h-Eileanan Siar,CA,,,,S08000028,Western Isles,,,S99999999,,,,,S14000027,Na h-Eileanan an Iar,S15000001,Scotland,S23000009,Scotland,1200100943687.0,120010.0,943687.0,NB2043,58.292222,-6.779846,Scottish Gaelic,"The form suggests Gaelic origin, possibly from 'gearraidh' (enclosure, cultivated land) with diminutive suffix '-in'. The phonetic structure and morphology align with Gaelic toponymic patterns, though the exact etymology requires more specific locational context to confirm.",Medium
1927,2557,IPN0002707,Auchmuirbridge,Auchmuirbridge,0,LOC,Kinross-shire,Kinross,Tayside,Perth and Kinross,Scotland,,,Portmoak,LD,Tayside,DIST,S12000048,Perth and Kinross,CA,,,,S08000030,Tayside,,,S99999999,,,,,S14000050,Ochil and South Perthshire,S15000001,Scotland,S23000009,Scotland,3216930701293.0,321693.0,701293.0,NO2101,56.197771,-3.26361,Scottish Gaelic,"Contains Gaelic 'achadh' (field) in 'Auch-' prefix and 'muir' (sea/moor). The '-bridge' suffix is a later English addition to the original Gaelic name, creating a hybrid toponym typical of Scottish place names where English infrastructure terms were added to existing Gaelic names.",High
29070,36422,IPN0038265,Killochyett,Killochyett,0,LOC,Midlothian,Midlothian,Borders,"Roxburgh, Ettrick and Lauderdale",Scotland,,,Gala Water,LD,Borders,DIST,S12000026,Scottish Borders,CA,,,,S08000016,Borders,,,S99999999,,,,,S14000008,"Berwickshire, Roxburgh and Selkirk",S15000001,Scotland,S23000009,Scotland,3457990645357.0,345799.0,645357.0,NT4545,55.698623,-2.86391,Scottish Gaelic,Clear Gaelic structure with 'coille' (wood/forest) in 'Kill-' and typical Gaelic phonetic patterns in the ending '-ochyett'. The name follows standard Gaelic toponymic formation with a landscape feature as the base element.,High
15601,19624,IPN0020620,Dingwall,Dingwall,0,LOC,Ross-shire,Ross and Cromarty,Highland,Ross and Cromarty,Scotland,,,Dingwall,LD,Highland,DIST,S12000017,Highland,CA,,,,S08000022,Highland,,,S99999999,,,,,S14000055,"Ross, Skye and Lochaber",S15000001,Scotland,S23000009,Scotland,2551400858731.0,255140.0,858731.0,NH5558,57.595262,-4.425329,Norse,"From Old Norse 'Þingvöllr' meaning 'assembly field' or 'parliament plain'. The '-wall' element derives from Old Norse 'völlr' (field/plain), and 'Ding-' from 'þing' (assembly/court). This reflects Norse political and legal organization in northern Scotland during Viking settlement period.",High
3282,4253,IPN0004479,Bayherivagh,Bayherivagh,0,LOC,Inverness-shire,Inverness,,Western Isles,Scotland,,,Barra,LD,Western Isles,IA,S12000013,Na h-Eileanan Siar,CA,,,,S08000028,Western Isles,,,S99999999,,,,,S14000027,Na h-Eileanan an Iar,S15000001,Scotland,S23000009,Scotland,709140802957.0,70914.0,802957.0,NF7002,57.000027,-7.421983,Scottish Gaelic,"Contains 'Bayheri-' which appears to be a corruption of Scottish Gaelic 'Bagh' (bay) + 'àiridh' (shieling/summer pasture), with '-vagh' possibly representing a phonetic rendering of Gaelic '-mhagh' (plain/field). The structure follows typical Gaelic toponymic patterns despite anglicization.",Medium
